bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,7846,17824,takeLoan(1200.00),-1200.00,0.00,-1200.00,1
Бот 1,1,2,7846,17824,buildFactory(iron-mine),-1200.00,0.00,-1200.00,1
Бот 2,1,1,7022,18360,takeLoan(1200.00),-1200.00,0.00,-1200.00,1
Бот 2,1,2,7022,18360,buildFactory(oil-well),-1200.00,0.00,-1200.00,1
Бот 1,2,1,7698,18769,"setWorkerCount(01M0FCF22BGMQB6KT3AXT6HS1V, 2)",0.00,1224.00,-1224.00,1
Бот 2,2,1,11539,19307,takeLoan(1200.00),-1200.00,1224.00,-2424.00,2
Бот 2,2,2,11539,19307,buildFactory(oil-well),-1200.00,1224.00,-2424.00,2
Бот 1,3,1,9953,18873,"sellToSystem(iron-ore, 19624)",0.00,1787.20,-1787.20,1
Бот 1,3,2,9953,18873,repayLoan(1787.2),0.00,1787.20,-1787.20,1
Бот 2,3,1,10127,19633,"setWorkerCount(01M0FCF8Y078QA659AT0Q5BBWT, 10)",0.00,2508.72,-2508.72,2
Бот 2,3,2,10127,19633,"setWorkerCount(01M0FCFVR0FH54DSZ4QWZNN8VZ, 10)",0.00,2508.72,-2508.72,2
Бот 1,4,1,7720,18525,"sellToSystem(iron-ore, 19624)",7632.30,0.00,7632.30,1
Бот 2,4,1,8329,19779,"sellToSystem(oil, 532000)",0.00,14371.98,-14371.98,2
Бот 1,5,1,8020,18586,"sellToSystem(iron-ore, 19624)",17105.42,0.00,17105.42,1
Бот 2,5,1,7977,19851,"sellToSystem(oil, 532000)",203558.98,14300.12,189258.86,2
Бот 1,6,1,7833,18796,"sellToSystem(iron-ore, 19624)",26578.54,0.00,26578.54,1
Бот 2,6,1,7788,20075,"sellToSystem(oil, 532000)",407120.48,14228.62,392891.86,2
Бот 1,7,1,7931,18839,"sellToSystem(iron-ore, 19624)",36051.66,0.00,36051.66,1
Бот 2,7,1,13502,20117,"sellToSystem(oil, 532000)",610684.47,14157.48,596527.00,2
Бот 2,7,2,13502,20117,"(skipped: setWorkerCount(01M0FCF8Y078QA659AT0Q5BBWT, ) — SetWorkerCount requires factoryId and count.)",610684.47,14157.48,596527.00,2
Бот 2,7,3,13502,20117,"(skipped: setWorkerCount(01M0FCFVR0FH54DSZ4QWZNN8VZ, ) — SetWorkerCount requires factoryId and count.)",610684.47,14157.48,596527.00,2
Бот 1,8,1,7352,18913,"(skipped: sellToSystem(iron-ore, ) — SellToSystem requires materialId and volume.)",45524.78,0.00,45524.78,1
Бот 2,8,1,9230,20379,"sellToSystem(oil, 532000)",814250.96,14086.69,800164.27,2
Бот 1,9,1,11784,19023,"sellToSystem(iron-ore, 39248)",40985.90,0.00,40985.90,2
Бот 1,9,2,11784,19023,buildFactory(coal-tar-plant),40985.90,0.00,40985.90,2
Бот 2,9,1,9463,20485,"sellToSystem(oil, 532000)",1017819.93,14016.26,1003803.67,2
Бот 1,10,1,15253,19432,"setWorkerCount(01M0FCKEMVVE1PSZ7A8G899NZ1, 2)",58270.12,0.00,58270.12,2
Бот 1,10,2,15253,19432,"sellToSystem(iron-ore, 18449.26)",58270.12,0.00,58270.12,2
Бот 2,10,1,8627,20543,"sellToSystem(oil, 528276)",1221465.84,13946.18,1207519.66,2
Бот 1,11,1,9259,19735,"sellToSystem(coal-tar, 1800)",67005.69,0.00,67005.69,2
Бот 1,11,2,9259,19735,"sellToSystem(iron-ore, 18096.04)",67005.69,0.00,67005.69,2
Бот 2,11,1,8781,20679,"sellToSystem(oil, 519764)",1423794.63,13876.44,1409918.19,2
Бот 1,12,1,11070,19756,"sellToSystem(iron-ore, 16764.3)",88472.53,0.00,88472.53,2
Бот 1,12,2,11070,19756,"sellToSystem(coal-tar, 1800)",88472.53,0.00,88472.53,2
Бот 2,12,1,8816,20660,"sellToSystem(oil, 509124)",1751330.27,13807.06,1737523.21,2
Бот 1,13,1,9942,19780,"sellToSystem(iron-ore, 16254.08)",114861.96,0.00,114861.96,2
Бот 1,13,2,9942,19780,"sellToSystem(coal-tar, 1800)",114861.96,0.00,114861.96,2
Бот 2,13,1,10812,20637,buildFactory(refinery),2196022.65,13738.03,2182284.62,3
Бот 1,14,1,10689,19793,"sellToSystem(iron-ore, 15665.36)",146462.67,0.00,146462.67,2
Бот 1,14,2,10689,19793,"sellToSystem(coal-tar, 1800)",146462.67,0.00,146462.67,2
Бот 2,14,1,11289,20779,"setWorkerCount(01M0FCP8J3J46B7XZNK9X7X1PR, 10)",2128914.11,13669.34,2115244.77,3
Бот 2,14,2,11289,20779,"sellToSystem(oil, 977816)",2128914.11,13669.34,2115244.77,3
Бот 1,15,1,10872,19835,"sellToSystem(iron-ore, 14998.15)",182920.60,0.00,182920.60,2
Бот 1,15,2,10872,19835,"sellToSystem(coal-tar, 1800)",182920.60,0.00,182920.60,2
Бот 2,15,1,12408,21116,"postSellOffer(gasoline, 1800, 5.5-6.0)",3484048.79,13600.99,3470447.80,3
Бот 1,16,1,19449,20292,"sellToSystem(coal-tar, 1800)",223824.02,0.00,223824.02,2
Бот 1,16,2,19449,20292,"sellToSystem(iron-ore, 14252.43)",223824.02,0.00,223824.02,2
Бот 2,16,1,19819,21193,"sellToSystem(gasoline, 3600.0)",3416907.57,13532.99,3403374.58,3
Бот 1,17,1,15010,20331,"(skipped: fulfillTradeOffer(01M0FCQMS4PG41T2KS8DSK02BN,  @ 5.75) — FulfillTradeOffer requires tradeOfferId, volume, and unitPrice.)",268703.50,0.00,268703.50,2
Бот 2,17,1,18979,21196,"sellToSystem(gasoline, 1800)",3319793.82,13465.32,3306328.50,3
Бот 1,18,1,22020,20158,"sellToSystem(iron-ore, 25978.95)",266253.80,0.00,266253.80,2
Бот 1,18,2,22020,20158,"sellToSystem(coal-tar, 3574.8)",266253.80,0.00,266253.80,2
Бот 2,18,1,20336,21031,"sellToSystem(gasoline, 1800)",3175348.77,13397.99,3161950.77,3
Бот 1,19,1,19368,20147,"sellToSystem(iron-ore, 11601.92)",357546.75,0.00,357546.75,2
Бот 1,19,2,19368,20147,"sellToSystem(coal-tar, 1742.4)",357546.75,0.00,357546.75,2
Бот 2,19,1,15667,21036,"postSellOffer(gasoline, 1800, 5.5-6.0)",2991495.83,13331.00,2978164.82,3
Бот 1,20,1,22832,20470,buildFactory(coking-plant),408651.13,0.00,408651.13,3
Бот 2,20,1,8919,21076,"sellToSystem(oil, 2440576)",2758365.65,13264.35,2745101.30,3
Бот 1,21,1,15393,20749,"setWorkerCount(01M0FCWY9X2NFBZBXBCFTK6EWQ, 2)",406437.41,0.00,406437.41,3
Бот 2,21,1,20413,21140,"sellToSystem(gasoline, 5400)",9822514.11,13198.03,9809316.08,4
Бот 2,21,2,20413,21140,buildFactory(gas-processing-plant),9822514.11,13198.03,9809316.08,4
Бот 1,22,1,6543,20544,nop,402862.99,0.00,402862.99,3
