bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,37196,15284,takeLoan(3000),-980.00,0.00,-980.00,2
Бот 1,1,2,37196,15284,buildFactory(iron-mine),-980.00,0.00,-980.00,2
Бот 1,1,3,37196,15284,buildFactory(coal-mine),-980.00,0.00,-980.00,2
Бот 1,2,1,25392,16071,"setWorkerCount(01M0DKB7T6CT4BQHQPY172JTN6, 5)",2000.00,3000.00,-1000.00,2
Бот 1,2,2,25392,16071,"setWorkerCount(01M0DKB7T7W2R804KK6JRJGFZ8, 5)",2000.00,3000.00,-1000.00,2
Бот 1,3,1,28151,16279,"sellToSystem(iron-ore, 400)",1086.70,2985.00,-1898.30,2
Бот 1,3,2,28151,16279,"sellToSystem(coking-coal, 300)",1086.70,2985.00,-1898.30,2
Бот 1,4,1,28729,16352,"sellToSystem(iron-ore, 400)",52.32,2970.08,-2917.76,2
Бот 1,4,2,28729,16352,"sellToSystem(coking-coal, 300)",52.32,2970.08,-2917.76,2
Бот 1,5,1,33169,16398,"sellToSystem(iron-ore, 400)",0.00,5298.37,-5298.37,2
Бот 1,5,2,33169,16398,"sellToSystem(coking-coal, 300)",0.00,5298.37,-5298.37,2
Бот 1,6,1,26520,16641,"sellToSystem(iron-ore, 400)",0.00,9374.80,-9374.80,2
Бот 1,6,2,26520,16641,"sellToSystem(coking-coal, 300)",0.00,9374.80,-9374.80,2
Бот 1,7,1,24278,16723,"sellToSystem(iron-ore, 400)",0.00,15685.11,-15685.11,2
Бот 1,7,2,24278,16723,"sellToSystem(coking-coal, 300)",0.00,15685.11,-15685.11,2
Бот 1,8,1,28233,16851,"sellToSystem(iron-ore, 400)",0.00,25278.17,-25278.17,2
Бот 1,8,2,28233,16851,"sellToSystem(coking-coal, 300)",0.00,25278.17,-25278.17,2
Бот 1,9,1,32156,16921,"sellToSystem(iron-ore, 400)",0.00,40162.46,-40162.46,2
Бот 1,9,2,32156,16921,"sellToSystem(coking-coal, 300)",0.00,40162.46,-40162.46,2
Бот 1,10,1,50613,17014,"sellToSystem(iron-ore, 400)",0.00,64385.75,-64385.75,2
Бот 1,10,2,50613,17014,"sellToSystem(coking-coal, 300)",0.00,64385.75,-64385.75,2
Бот 1,11,1,58301,17191,"sellToSystem(iron-ore, 400)",0.00,106939.24,-106939.24,2
Бот 1,11,2,58301,17191,"sellToSystem(coking-coal, 300)",0.00,106939.24,-106939.24,2
Бот 1,12,1,61993,17185,"sellToSystem(iron-ore, 400)",0.00,171915.46,-171915.46,2
Бот 1,12,2,61993,17185,"sellToSystem(coking-coal, 300)",0.00,171915.46,-171915.46,2
Бот 1,13,1,40943,17158,"sellToSystem(iron-ore, 400)",0.00,270370.82,-270370.82,2
Бот 1,13,2,40943,17158,"sellToSystem(coking-coal, 300)",0.00,270370.82,-270370.82,2
Бот 1,14,1,40123,17162,"sellToSystem(iron-ore, 4008)",0.00,419001.97,-419001.97,2
Бот 1,14,2,40123,17162,"sellToSystem(coking-coal, 3008)",0.00,419001.97,-419001.97,2
Бот 1,15,1,36774,17169,"sellToSystem(iron-ore, 4010)",0.00,623357.73,-623357.73,2
Бот 1,15,2,36774,17169,"sellToSystem(coking-coal, 3010)",0.00,623357.73,-623357.73,2
Бот 1,16,1,30662,17268,"sellToSystem(iron-ore, 4012)",0.00,926929.97,-926929.97,2
Бот 1,16,2,30662,17268,"sellToSystem(coking-coal, 3012)",0.00,926929.97,-926929.97,2
Бот 1,17,1,35686,17281,"sellToSystem(iron-ore, 4012)",0.00,1379259.84,-1379259.84,2
Бот 1,17,2,35686,17281,"sellToSystem(coking-coal, 3012)",0.00,1379259.84,-1379259.84,2
Бот 1,18,1,35940,17286,"sellToSystem(iron-ore, 4016)",0.00,2054670.95,-2054670.95,2
Бот 1,18,2,35940,17286,"sellToSystem(coking-coal, 3016)",0.00,2054670.95,-2054670.95,2
Бот 1,19,1,33553,17289,"sellToSystem(iron-ore, 4018)",0.00,3064587.29,-3064587.29,2
Бот 1,19,2,33553,17289,"sellToSystem(coking-coal, 3018)",0.00,3064587.29,-3064587.29,2
Бот 1,20,1,33740,17299,"sellToSystem(iron-ore, 4020)",0.00,4576192.66,-4576192.66,2
Бот 1,20,2,33740,17299,"sellToSystem(coking-coal, 3020)",0.00,4576192.66,-4576192.66,2
Бот 1,21,1,35276,17400,"sellToSystem(iron-ore, 4022)",0.00,6840238.21,-6840238.21,2
Бот 1,21,2,35276,17400,"sellToSystem(coking-coal, 3022)",0.00,6840238.21,-6840238.21,2
Бот 1,22,1,39873,17422,"sellToSystem(iron-ore, 4024)",-232844.03,10000000.00,-10232844.03,2
Бот 1,22,2,39873,17422,"sellToSystem(coking-coal, 3024)",-232844.03,10000000.00,-10232844.03,2
Бот 1,23,1,36497,17427,"sellToSystem(iron-ore, 4026)",-5201761.70,10000000.00,-15201761.70,2
Бот 1,23,2,36497,17427,"sellToSystem(coking-coal, 3026)",-5201761.70,10000000.00,-15201761.70,2
Бот 1,24,1,53814,17854,"setOverhaulRequested(01M0DKB7T6CT4BQHQPY172JTN6, True)",-10166997.17,10000000.00,-20166997.17,2
Бот 1,24,2,53814,17854,"setOverhaulRequested(01M0DKB7T7W2R804KK6JRJGFZ8, True)",-10166997.17,10000000.00,-20166997.17,2
Бот 1,24,3,53814,17854,"sellToSystem(iron-ore, 4028)",-10166997.17,10000000.00,-20166997.17,2
Бот 1,24,4,53814,17854,"sellToSystem(coking-coal, 3028)",-10166997.17,10000000.00,-20166997.17,2
Бот 1,25,1,45351,17686,"sellToSystem(iron-ore, 4030)",-15129067.38,10000000.00,-25129067.38,2
Бот 1,25,2,45351,17686,"sellToSystem(coking-coal, 3030)",-15129067.38,10000000.00,-25129067.38,2
Бот 1,26,1,30150,17779,nop,-20087491.55,10000000.00,-30087491.55,2
Бот 1,27,1,30979,17723,nop,-25106641.68,10000000.00,-35106641.68,2
