bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,8726,17138,(skipped: takeLoan() — TakeLoan requires amount.),-1200.00,0.00,-1200.00,1
Бот 1,1,2,8726,17138,buildFactory(iron-mine),-1200.00,0.00,-1200.00,1
Бот 2,1,1,8460,17674,(skipped: takeLoan() — TakeLoan requires amount.),-1200.00,0.00,-1200.00,1
Бот 2,1,2,8460,17674,buildFactory(oil-well),-1200.00,0.00,-1200.00,1
Бот 1,2,1,12780,18128,takeLoan(500.00),0.00,1224.00,-1224.00,1
Бот 1,2,2,12780,18128,"setWorkerCount(01M0F3P0M4B464K5Y5QBXT3HHD, 1)",0.00,1224.00,-1224.00,1
Бот 2,2,1,8193,18655,takeLoan(1224),0.00,1224.00,-1224.00,1
Бот 2,2,2,8193,18655,"setWorkerCount(01M0F3P8WVNM7M3HKYPG11QB35, 1)",0.00,1224.00,-1224.00,1
Бот 1,3,1,8489,18305,(skipped: repayLoan() — RepayLoan requires amount.),181.92,1717.88,-1535.96,1
Бот 2,3,1,14479,18797,"sellToSystem(oil, 26600)",570.16,2441.88,-1871.72,1
Бот 1,4,1,8946,18380,"sellToSystem(iron-ore, 19624)",0.00,2743.94,-2743.94,1
Бот 2,4,1,7972,18825,"sellToSystem(oil, 26600)",12613.69,2429.67,10184.02,1
Бот 1,5,1,12485,18450,buildFactory(coal-tar-plant),7378.32,2730.22,4648.11,2
Бот 1,5,2,12485,18450,"sellToSystem(iron-ore, 9812)",7378.32,2730.22,4648.11,2
Бот 2,5,1,11964,18863,"sellToSystem(oil, 26600)",24657.66,2417.52,22240.13,1
Бот 2,5,2,11964,18863,repayLoan(2417.52),24657.66,2417.52,22240.13,1
Бот 1,6,1,9393,18928,"setWorkerCount(01M0F3RGMEGW5A79CAYQRP15G5, 1)",12988.32,2716.57,10271.76,2
Бот 2,6,1,14977,18646,buildFactory(gas-processing-plant),30046.61,0.00,30046.61,3
Бот 2,6,2,14977,18646,buildFactory(refinery),30046.61,0.00,30046.61,3
Бот 1,7,1,11291,19092,"sellToSystem(coal-tar, 900)",11619.80,2702.98,8916.82,2
Бот 1,7,2,11291,19092,repayLoan(500.00),11619.80,2702.98,8916.82,2
Бот 2,7,1,12630,19240,"setWorkerCount(01M0F3SM4KVDSH9YHTY93877VA, 1)",26790.61,0.00,26790.61,3
Бот 2,7,2,12630,19240,"setWorkerCount(01M0F3SM4KGPN72HV0MA7T961D, 1)",26790.61,0.00,26790.61,3
Бот 1,8,1,10442,19196,"sellToSystem(iron-ore, 27636.00)",13320.56,2189.47,11131.09,2
Бот 1,8,2,10442,19196,repayLoan(500.00),13320.56,2189.47,11131.09,2
Бот 2,8,1,11119,19549,"sellToSystem(oil, 74000.0)",20755.53,0.00,20755.53,3
Бот 1,9,1,18857,19372,buildFactory(iron-powder-plant),21066.09,1678.52,19387.57,4
Бот 1,9,2,18857,19372,buildFactory(lime-kiln),21066.09,1678.52,19387.57,4
Бот 2,9,1,15236,19593,buildFactory(gas-processing-plant),49024.25,0.00,49024.25,4
Бот 2,9,2,15236,19593,"sellToSystem(oil, 20000.0)",49024.25,0.00,49024.25,4
Бот 1,10,1,14394,20026,"setWorkerCount(01M0F3VK0JSNTR97D7WX6Z4TJ8, 1)",19608.65,1670.13,17938.52,4
