bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,2868,15284,takeLoan(500.00),-500.00,0.00,-500.00,1
Бот 1,1,2,2868,15284,buildFactory(iron-mine),-500.00,0.00,-500.00,1
Бот 1,2,1,5483,15749,"setWorkerCount(01M0DHVEFCYCV5847N84GE9KKV, 2)",0.00,510.00,-510.00,1
Бот 1,3,1,4624,15850,"sellToSystem(iron-ore, 3308)",0.00,724.99,-724.99,1
Бот 1,4,1,4982,15928,"sellToSystem(iron-ore, 3308)",2859.71,721.37,2138.35,1
Бот 1,5,1,9404,15972,"sellToSystem(iron-ore, 3308)",5719.84,717.76,5002.08,1
Бот 1,6,1,6943,16163,"sellToSystem(iron-ore, 3308)",8580.38,714.17,7866.21,1
Бот 1,7,1,7052,16213,"sellToSystem(iron-ore, 3308)",11441.34,710.60,10730.74,1
Бот 1,8,1,11523,16286,"setWorkerCount(01M0DHVEFCYCV5847N84GE9KKV, 1)",14302.69,707.05,13595.65,1
Бот 1,9,1,9321,16371,"sellToSystem(iron-ore, 4962)",13864.54,703.51,13161.03,1
Бот 1,10,1,6035,16430,"sellToSystem(iron-ore, 1630.84)",17772.85,699.99,17072.86,1
Бот 1,11,1,6481,16542,"sellToSystem(iron-ore, 1601.08)",19165.03,696.49,18468.54,1
Бот 1,12,1,4874,16531,"sellToSystem(iron-ore, 1564.68)",21324.15,693.01,20631.14,1
Бот 1,13,1,5337,16522,"sellToSystem(iron-ore, 1521.68)",24208.38,689.55,23518.84,1
Бот 1,14,1,5961,16526,nop,27766.11,686.10,27080.02,1
Бот 1,15,1,6727,16499,"sellToSystem(iron-ore, 2887.89)",27519.70,682.67,26837.04,1
Бот 1,16,1,8289,16565,buildFactory(coal-mine),36755.25,679.25,36075.99,2
Бот 1,16,2,8289,16565,"sellToSystem(iron-ore, 1352.97)",36755.25,679.25,36075.99,2
Бот 1,17,1,5521,16817,"setWorkerCount(01M0DHYK69YQHQJQ578P7GKBQJ, 1)",41915.42,675.86,41239.56,2
Бот 1,18,1,7804,16955,buildFactory(coking-plant),40647.05,672.48,39974.57,3
Бот 1,19,1,5985,17145,"setWorkerCount(01M0DHZ06X0T643FKJQKWWDJC4, 1)",40062.01,669.12,39392.90,3
Бот 1,20,1,6933,17265,"sellToSystem(iron-ore, 4651.05)",39142.52,665.77,38476.75,3
Бот 1,20,2,6933,17265,"sellToSystem(coke, 620)",39142.52,665.77,38476.75,3
Бот 1,21,1,5650,17387,"sellToSystem(coke, 620)",69045.17,662.44,68382.73,3
Бот 1,21,2,5650,17387,"sellToSystem(coking-coal, 2976)",69045.17,662.44,68382.73,3
Бот 1,22,1,7540,17407,"sellToSystem(iron-ore, 1776.4)",93520.99,659.13,92861.86,3
Бот 1,22,2,7540,17407,"sellToSystem(coke, 620)",93520.99,659.13,92861.86,3
Бот 1,22,3,7540,17407,"sellToSystem(coking-coal, 279)",93520.99,659.13,92861.86,3
Бот 1,23,1,8879,17507,"sellToSystem(iron-ore, 727.76)",112992.59,655.83,112336.75,3
Бот 1,23,2,8879,17507,"sellToSystem(coking-coal, 279)",112992.59,655.83,112336.75,3
Бот 1,23,3,8879,17507,"sellToSystem(coke, 620)",112992.59,655.83,112336.75,3
Бот 1,24,1,7388,17784,"setOverhaulRequested(01M0DHVEFCYCV5847N84GE9KKV, True)",126039.00,652.55,125386.44,3
Бот 1,25,1,9145,17756,"sellToSystem(coke, 1240)",125430.50,649.29,124781.21,3
Бот 1,25,2,9145,17756,"sellToSystem(coking-coal, 541.07)",125430.50,649.29,124781.21,3
Бот 1,26,1,11147,17888,"sellToSystem(iron-ore, 1000.0)",142485.83,646.05,141839.79,3
Бот 1,27,1,9916,17865,"sellToSystem(iron-ore, 2589.18)",149824.04,642.82,149181.22,3
Бот 1,27,2,9916,17865,"sellToSystem(coke, 1231.32)",149824.04,642.82,149181.22,3
Бот 1,27,3,9916,17865,"sellToSystem(coking-coal, 467.05)",149824.04,642.82,149181.22,3
Бот 1,28,1,10645,17903,"sellToSystem(iron-ore, 1654.0)",183753.06,639.60,183113.46,3
Бот 1,28,2,10645,17903,"sellToSystem(coke, 600.16)",183753.06,639.60,183113.46,3
Бот 1,28,3,10645,17903,"sellToSystem(coking-coal, 212.04)",183753.06,639.60,183113.46,3
Бот 1,29,1,8498,17979,"sellToSystem(iron-ore, 1654.0)",201671.81,636.40,201035.40,3
Бот 1,29,2,8498,17979,"sellToSystem(coke, 586.52)",201671.81,636.40,201035.40,3
Бот 1,29,3,8498,17979,"sellToSystem(coking-coal, 196.23)",201671.81,636.40,201035.40,3
Бот 1,30,1,8846,18030,"sellToSystem(coke, 570.4)",218159.33,633.22,217526.11,3
