bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,8463,15799,(skipped: takeLoan() — TakeLoan requires amount.),-2200.00,0.00,-2200.00,1
Бот 1,1,2,8463,15799,buildFactory(coal-tar-plant),-2200.00,0.00,-2200.00,1
Бот 2,1,1,9587,16335,takeLoan(3250),-3250.00,0.00,-3250.00,2
Бот 2,1,2,9587,16335,buildFactory(oil-well),-3250.00,0.00,-3250.00,2
Бот 2,1,3,9587,16335,buildFactory(refinery),-3250.00,0.00,-3250.00,2
Бот 1,2,1,11389,16369,(skipped: takeLoan() — TakeLoan requires amount.),0.00,2244.00,-2244.00,1
Бот 1,2,2,11389,16369,"setWorkerCount(01M0F01REJM7WFAZDEZHHHP1RC, 5)",0.00,2244.00,-2244.00,1
Бот 2,2,1,10099,17139,takeLoan(3315.00),0.00,3315.00,-3315.00,2
Бот 2,2,2,10099,17139,"(skipped: setWorkerCount(01M0F021TGZ5FTG7S80Q2G4V4Y, ) — SetWorkerCount requires factoryId and count.)",0.00,3315.00,-3315.00,2
Бот 2,2,3,10099,17139,"(skipped: setWorkerCount(01M0F021TH840H2NPHQ70NQQ4S, ) — SetWorkerCount requires factoryId and count.)",0.00,3315.00,-3315.00,2
Бот 1,3,1,9321,16544,(skipped: takeLoan() — TakeLoan requires amount.),-1200.00,2701.53,-3901.53,2
Бот 1,3,2,9321,16544,buildFactory(iron-mine),-1200.00,2701.53,-3901.53,2
Бот 2,3,1,8097,17409,"setWorkerCount(01M0F021TGZ5FTG7S80Q2G4V4Y, 10)",3018.13,6613.43,-3595.29,2
Бот 2,3,2,8097,17409,"setWorkerCount(01M0F021TH840H2NPHQ70NQQ4S, 10)",3018.13,6613.43,-3595.29,2
Бот 1,4,1,9275,16920,takeLoan(2000.00),0.00,4264.68,-4264.68,2
Бот 2,4,1,10799,17617,"postSellOffer(gasoline, 1000, 3.0-4.0)",0.00,10611.24,-10611.24,2
Бот 1,5,1,12665,17090,takeLoan(2000.00),259.21,6243.36,-5984.15,3
Бот 1,5,2,12665,17090,buildFactory(iron-mine),259.21,6243.36,-5984.15,3
Бот 1,5,3,12665,17090,"setWorkerCount(01M0F02ZYWRHSGS6HDS5E5YMFA, 5)",259.21,6243.36,-5984.15,3
Бот 2,5,1,8233,17791,takeLoan(30000.0),0.00,43653.37,-43653.37,2
Бот 1,6,1,7395,17652,"setWorkerCount(01M0F047VR5WHBBWCK4WE1VGRJ, 5)",140.46,8212.14,-8071.68,3
Бот 2,6,1,9151,18036,takeLoan(80000.0),0.00,106509.70,-106509.70,2
Бот 1,7,1,15816,17630,takeLoan(6000.00),0.00,16218.30,-16218.30,3
Бот 1,7,2,15816,17630,"sellToSystem(coal-tar, 9000)",0.00,16218.30,-16218.30,3
Бот 1,7,3,15816,17630,"sellToSystem(iron-ore, 138180)",0.00,16218.30,-16218.30,3
Бот 2,7,1,9253,17969,(skipped: takeLoan() — TakeLoan requires amount.),0.00,202161.67,-202161.67,2
Бот 2,7,2,9253,17969,"(skipped: postSellOffer(gasoline, 1000, -) — PostSellOffer/PostBuyOffer requires materialId, volume, minPrice, and maxPrice.)",0.00,202161.67,-202161.67,2
Бот 1,8,1,13546,17793,"sellToSystem(iron-ore, 4000)",83249.68,22137.21,61112.47,3
Бот 1,8,2,13546,17793,"sellToSystem(coal-tar, 900)",83249.68,22137.21,61112.47,3
Бот 2,8,1,9788,18184,(skipped: takeLoan() — TakeLoan requires amount.),0.00,333888.84,-333888.84,2
Бот 2,8,2,9788,18184,"(skipped: postSellOffer(gasoline, 1000, -) — PostSellOffer/PostBuyOffer requires materialId, volume, minPrice, and maxPrice.)",0.00,333888.84,-333888.84,2
Бот 1,9,1,11448,17870,"sellToSystem(coal-tar, 8100)",77443.87,22026.52,55417.35,3
Бот 1,9,2,11448,17870,"sellToSystem(iron-ore, 4000)",77443.87,22026.52,55417.35,3
Бот 2,9,1,6480,18468,takeLoan(400000.00),0.00,505298.73,-505298.73,2
Бот 2,9,2,6480,18468,"(skipped: postSellOffer(, , -) — PostSellOffer/PostBuyOffer requires materialId, volume, minPrice, and maxPrice.)",0.00,505298.73,-505298.73,2
Бот 1,10,1,6795,17952,(skipped: repayLoan() — RepayLoan requires amount.),80328.95,21916.39,58412.56,3
Бот 2,10,1,8102,18697,takeLoan(600000.0),182487.62,902772.23,-720284.62,2
Бот 2,10,2,8102,18697,"(skipped: postSellOffer(, , -) — PostSellOffer/PostBuyOffer requires materialId, volume, minPrice, and maxPrice.)",182487.62,902772.23,-720284.62,2
Бот 1,11,1,27347,18166,takeLoan(80000.00),48124.82,21806.80,26318.02,3
Бот 1,11,2,27347,18166,"sellToSystem(iron-ore, 4002)",48124.82,21806.80,26318.02,3
Бот 1,11,3,27347,18166,"sellToSystem(coal-tar, 902)",48124.82,21806.80,26318.02,3
Бот 1,11,4,27347,18166,"postSellOffer(iron-ore, 50000, 1.50-2.00)",48124.82,21806.80,26318.02,3
Бот 1,11,5,27347,18166,"postSellOffer(coal-tar, 1000, 5.50-6.00)",48124.82,21806.80,26318.02,3
Бот 2,11,1,9070,19240,takeLoan(700000.00),497197.50,1498258.37,-1001060.88,2
Бот 2,11,2,9070,19240,"postSellOffer(gasoline, 1000, 3.50-4.00)",497197.50,1498258.37,-1001060.88,2
Бот 1,12,1,13093,18683,takeLoan(120000.00),96590.97,101697.77,-5106.80,3
Бот 1,12,2,13093,18683,"(skipped: sellToSystem(, ) — SellToSystem requires materialId and volume.)",96590.97,101697.77,-5106.80,3
Бот 1,12,3,13093,18683,"(skipped: sellToSystem(, ) — SellToSystem requires materialId and volume.)",96590.97,101697.77,-5106.80,3
Бот 2,12,1,14633,19382,"sellToSystem(oil, 200000)",820370.06,2190767.08,-1370397.02,3
Бот 2,12,2,14633,19382,buildFactory(carbon-black-plant),820370.06,2190767.08,-1370397.02,3
Бот 2,12,3,14633,19382,"postSellOffer(gasoline, 2000, 3.5-4.0)",820370.06,2190767.08,-1370397.02,3
Бот 1,13,1,16648,18936,(skipped: repayLoan() — RepayLoan requires amount.),155972.39,221189.28,-65216.89,3
