bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,27086,14506,takeLoan(3000),0.00,0.00,0.00,0
Бот 1,2,1,13911,14603,buildFactory(scrap-yard),2650.00,3000.00,-350.00,1
Бот 1,3,1,17935,15037,"setWorkerCount(01M0D3SGYR8ME5M5AAZGVDM2NB, 1)",2587.00,2985.00,-398.00,1
Бот 1,4,1,17360,15181,"sellToSystem(scrap-metal, 390)",2461.62,2970.08,-508.46,1
Бот 1,5,1,16764,15267,"sellToSystem(scrap-metal, 390)",2698.65,2955.22,-256.57,1
Бот 1,6,1,21666,15439,"sellToSystem(scrap-metal, 390)",2436.10,2940.45,-504.35,2
Бот 1,6,2,21666,15439,buildFactory(iron-mine),2436.10,2940.45,-504.35,2
Бот 1,6,3,21666,15439,takeLoan(1000),2436.10,2940.45,-504.35,2
Бот 1,7,1,24239,15855,"setWorkerCount(01M0D3VS08NTY5P6CVP1P2KD3Z, 1)",3663.96,3925.75,-261.79,2
Бот 1,7,2,24239,15855,"sellToSystem(scrap-metal, 390)",3663.96,3925.75,-261.79,2
Бот 1,7,3,24239,15855,takeLoan(500),3663.96,3925.75,-261.79,2
Бот 1,8,1,20648,16202,"sellToSystem(scrap-metal, 390)",4273.59,4406.12,-132.53,2
Бот 1,9,1,24744,16317,"sellToSystem(scrap-metal, 390)",3782.00,4384.09,-602.08,3
Бот 1,9,2,24744,16317,buildFactory(coal-mine),3782.00,4384.09,-602.08,3
Бот 1,9,3,24744,16317,takeLoan(1000),3782.00,4384.09,-602.08,3
Бот 1,10,1,29120,16731,"setWorkerCount(01M0D3XX0R12QDVZ48GY22JF9A, 1)",4595.82,5362.17,-766.34,3
Бот 1,10,2,29120,16731,"sellToSystem(iron-ore, 4000)",4595.82,5362.17,-766.34,3
Бот 1,10,3,29120,16731,"sellToSystem(scrap-metal, 390)",4595.82,5362.17,-766.34,3
Бот 1,11,1,33217,17185,"sellToSystem(iron-ore, 2616)",8126.79,5335.36,2791.44,3
Бот 1,11,2,33217,17185,"sellToSystem(coking-coal, 1209)",8126.79,5335.36,2791.44,3
Бот 1,11,3,33217,17185,"sellToSystem(scrap-metal, 384.54)",8126.79,5335.36,2791.44,3
Бот 1,12,1,48371,17317,"sellToSystem(iron-ore, 1654)",13074.22,5308.68,7765.54,4
Бот 1,12,2,48371,17317,"sellToSystem(coking-coal, 1209)",13074.22,5308.68,7765.54,4
Бот 1,12,3,48371,17317,"sellToSystem(scrap-metal, 377.52)",13074.22,5308.68,7765.54,4
Бот 1,12,4,48371,17317,takeLoan(2000),13074.22,5308.68,7765.54,4
Бот 1,12,5,48371,17317,buildFactory(coking-plant),13074.22,5308.68,7765.54,4
Бот 1,13,1,48601,17842,"setWorkerCount(01M0D4194S1V8TAR1BV6AGK47W, 1)",21153.80,7282.14,13871.66,4
Бот 1,14,1,63990,17948,"sellToSystem(iron-ore, 3308)",20400.03,7245.72,13154.30,4
Бот 1,14,2,63990,17948,"sellToSystem(coking-coal, 1488)",20400.03,7245.72,13154.30,4
Бот 1,14,3,63990,17948,"sellToSystem(coke, 620)",20400.03,7245.72,13154.30,4
Бот 1,14,4,63990,17948,"sellToSystem(scrap-metal, 727.74)",20400.03,7245.72,13154.30,4
Бот 1,14,5,63990,17948,takeLoan(1000),20400.03,7245.72,13154.30,4
Бот 1,15,1,55539,18161,"sellToSystem(iron-ore, 1630.84)",40212.39,8209.50,32002.89,4
Бот 1,15,2,55539,18161,"sellToSystem(coking-coal, 279)",40212.39,8209.50,32002.89,4
Бот 1,15,3,55539,18161,"sellToSystem(coke, 620)",40212.39,8209.50,32002.89,4
Бот 1,15,4,55539,18161,"sellToSystem(scrap-metal, 347.1)",40212.39,8209.50,32002.89,4
Бот 1,15,5,55539,18161,setGenerationResearchCommitment(1575),40212.39,8209.50,32002.89,4
Бот 1,16,1,46692,18917,"sellToSystem(iron-ore, 1601.08)",49177.20,8168.45,41008.76,4
Бот 1,16,2,46692,18917,"sellToSystem(coking-coal, 279)",49177.20,8168.45,41008.76,4
Бот 1,16,3,46692,18917,"sellToSystem(coke, 620)",49177.20,8168.45,41008.76,4
Бот 1,16,4,46692,18917,"sellToSystem(scrap-metal, 333.84)",49177.20,8168.45,41008.76,4
Бот 1,17,1,49872,19560,"sellToSystem(iron-ore, 1564.68)",57201.28,8127.61,49073.67,5
Бот 1,17,2,49872,19560,"sellToSystem(coking-coal, 279)",57201.28,8127.61,49073.67,5
Бот 1,17,3,49872,19560,"sellToSystem(coke, 620)",57201.28,8127.61,49073.67,5
Бот 1,17,4,49872,19560,"sellToSystem(scrap-metal, 319.02)",57201.28,8127.61,49073.67,5
Бот 1,17,5,49872,19560,buildFactory(blast-furnace),57201.28,8127.61,49073.67,5
Бот 1,18,1,49161,19879,"setWorkerCount(01M0D49BNG43PHWWJG4VEV3K8H, 1)",68563.68,8086.97,60476.71,5
