bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,5755,14506,takeLoan(2000.00),-480.00,0.00,-480.00,1
Бот 1,1,2,5755,14506,buildFactory(coal-mine),-480.00,0.00,-480.00,1
Бот 1,2,1,3326,15049,"setWorkerCount(01M0D1W5H5E3AWCFAZ090K9BKA, 10)",1510.00,2000.00,-490.00,1
Бот 1,3,1,4783,15188,repayLoan(676.00),676.20,1990.00,-1313.80,1
Бот 1,4,1,8551,15211,takeLoan(1000.00),-900.00,2796.43,-3696.43,2
Бот 1,4,2,8551,15211,buildFactory(coking-plant),-900.00,2796.43,-3696.43,2
Бот 1,4,3,8551,15211,"sellToSystem(coking-coal, 2000.00)",-900.00,2796.43,-3696.43,2
Бот 1,5,1,8402,15599,"setWorkerCount(01M0D1WNTR0P048B9R7AQCKNNC, 10)",0.00,4161.49,-4161.49,2
Бот 1,5,2,8402,15599,"sellToSystem(coking-coal, 3000.0)",0.00,4161.49,-4161.49,2
Бот 1,6,1,5231,16016,"sellToSystem(coke, 6200.00)",0.00,5421.21,-5421.21,2
Бот 1,7,1,10427,16101,"sellToSystem(coking-coal, 36850.00)",5974.64,5394.10,580.54,2
Бот 1,7,2,10427,16101,repayLoan(3000.00),5974.64,5394.10,580.54,2
Бот 1,8,1,6576,16243,"sellToSystem(coke, 12400.00)",21185.49,2367.13,18818.37,2
Бот 1,8,2,6576,16243,"sellToSystem(coking-coal, 2790.00)",21185.49,2367.13,18818.37,2
Бот 1,9,1,8639,16367,"sellToSystem(coke, 6200.00)",42875.14,2355.29,40519.85,2
Бот 1,9,2,8639,16367,"sellToSystem(coking-coal, 2790.00)",42875.14,2355.29,40519.85,2
Бот 1,10,1,4419,16504,nop,55890.24,2343.52,53546.72,2
Бот 1,11,1,4455,16637,nop,54180.58,2331.80,51848.78,2
Бот 1,12,1,5141,16544,nop,51529.66,2320.14,49209.52,2
Бот 1,13,1,6823,16485,"sellToSystem(coke, 24713.2)",47970.77,2308.54,45662.23,2
Бот 1,13,2,6823,16485,"sellToSystem(coking-coal, 9114)",47970.77,2308.54,45662.23,2
Бот 1,14,1,10386,16566,"sellToSystem(coke, 6001.6)",118667.58,2297.00,116370.59,2
Бот 1,14,2,10386,16566,"sellToSystem(coking-coal, 1757.7)",118667.58,2297.00,116370.59,2
Бот 1,14,3,10386,16566,setGenerationResearchCommitment(1000.00),118667.58,2297.00,116370.59,2
Бот 1,15,1,7458,16911,"sellToSystem(coke, 5865.2)",139929.33,2285.51,137643.82,2
Бот 1,15,2,7458,16911,repayLoan(2000.00),139929.33,2285.51,137643.82,2
Бот 1,16,1,6507,16943,setGenerationResearchCommitment(1575.0),155031.91,274.08,154757.83,2
Бот 1,17,1,12538,17538,"setRndCommitment(01M0D1W5H5E3AWCFAZ090K9BKA, 200.00)",151728.92,272.71,151456.20,2
Бот 1,17,2,12538,17538,"setRndCommitment(01M0D1WNTR0P048B9R7AQCKNNC, 200.00)",151728.92,272.71,151456.20,2
Бот 1,18,1,4924,18083,nop,147330.94,271.35,147059.59,2
Бот 1,19,1,8508,17977,nop,142295.05,269.99,142025.06,2
Бот 1,20,1,10863,17924,"sellToSystem(coke, 20000.0)",136682.99,268.64,136414.35,2
Бот 1,20,2,10863,17924,"sellToSystem(coking-coal, 4000.0)",136682.99,268.64,136414.35,2
Бот 1,21,1,7592,18069,"sellToSystem(coke, 10938.0)",238003.23,267.30,237735.93,2
Бот 1,21,2,7592,18069,"sellToSystem(coking-coal, 1898.06)",238003.23,267.30,237735.93,2
Бот 1,22,1,10901,18662,buildFactory(coal-mine),298620.21,265.96,298354.25,3
Бот 1,23,1,7397,19046,"setWorkerCount(01M0D20YDZBZ0PGNMSMVTP95VY, 10)",295319.71,264.63,295055.08,3
Бот 1,23,2,7397,19046,"sellToSystem(coke, 6000.0)",295319.71,264.63,295055.08,3
Бот 1,24,1,10686,19170,"setOverhaulRequested(01M0D1W5H5E3AWCFAZ090K9BKA, True)",325356.84,263.31,325093.53,3
Бот 1,24,2,10686,19170,"sellToSystem(coke, 5000.0)",325356.84,263.31,325093.53,3
Бот 1,24,3,10686,19170,"sellToSystem(coking-coal, 3000.0)",325356.84,263.31,325093.53,3
Бот 1,25,1,14614,19091,"sellToSystem(coke, 4304.08)",375990.56,261.99,375728.57,3
Бот 1,25,2,14614,19091,"sellToSystem(coking-coal, 3000.00)",375990.56,261.99,375728.57,3
Бот 1,26,1,9354,19215,buildFactory(coal-mine),424644.42,260.68,424383.74,4
